_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
93,Roads and bridges,"Agriculture, Food and Rural Affairs",Smiths Falls,Stone Arch Bridge Structure Rehabilitation,Complete,Feb-18,Rehabilitation of the Stone Arch Bridge.,Increased Traffic Safety,Lanark,East,32 Beckwith Street South,,,2000000,Yes,Yes,,,,44.898516,-76.020999
94,Roads and bridges,"Agriculture, Food and Rural Affairs",South Algonquin,Aylen Lake Road Reconstruction,Complete,Oct-18,"Reconstruction of Aylen Lake Road, from Highway 60 to beyond the intersection of North Aylen Lake Road.",Increased traffic safety,Nipissing,Northeast,,K0J 2M0,,1357407,Yes,Yes,,,,45.564931,-77.888787
95,Roads and bridges,"Agriculture, Food and Rural Affairs",South Huron,London Road/Main Street Bridge Rehabilitation,Complete,Mar-18,"Replacing bridge rail and waterproof membrane, while repairing asphalt, concrete curb, sidewalk and wing-wall",Improved traffic safety,Huron,Southwest,Main St N,N0M 1S3,,312064,Yes,Yes,Yes,,,43.356485,-81.48248
96,Roads and bridges,"Agriculture, Food and Rural Affairs",South River,Rehabilitation of Eagle Lake Road,Complete,Jun-19,Rehabilitation of Eagle Lake Road from the South River Boundary to the Lount Township boundary.,Increased traffic safety,Parry Sound,Northeast,,P0A 1X0,,1899227,Yes,Yes,,,,45.847933,-79.388996
97,Roads and bridges,"Agriculture, Food and Rural Affairs",South Stormont,County Road 2 Long Sault Road Reconstruction,Complete,Sep-18,Reconstruction of County Road 2.,Increased Traffic Safety,"Stormont, Dundas and Glengarry",East,County Road 2,K0C 1P0,,980706,Yes,Yes,,,,45.027572,-74.896249
98,Roads and bridges,"Agriculture, Food and Rural Affairs",South Stormont,Reconstruction of Fairground Drive and Cedar Street,Complete,Nov-19,"Reconstruction of Cedar Street, from County Road 14 to Fairground Drive, and Fairground Drive, from Cedar Street to County Road 12, including installation of a new storm sewer and catch basins. ",Increased traffic safety,"Stormont, Dundas and Glengarry",East,,K0C 1Y0,,1480394,Yes,Yes,,,,45.119572,-75.015443
99,Roads and bridges,"Agriculture, Food and Rural Affairs",Southgate,Replacement of Bridge Structure S20,Complete,Nov-17,Replacement and widening of the Southgate Bridge.,Increased Traffic Safety,Grey,Southwest,"185667 Grey Rd 9, RR 1",N0C 1B0,,1230264,Yes,Yes,,,,44.057648,-80.558486
100,Roads and bridges,"Agriculture, Food and Rural Affairs",Southgate,Bridge S57 Replacement and Southgate SDR 07 Rehabilitation,Complete,Nov-17,Replacement of of Bridge S57 and rehabilitation of Southgate Sideroad.,Increased Traffic Safety,Grey,Southwest,Southgate SR 7,,,936000,Yes,Yes,,,,44.166615,-80.585092
101,Roads and bridges,"Agriculture, Food and Rural Affairs",Southwold,Longhurst Line Bridge Replacement,Complete,Jul-19,"Replacement of Longhurst Line Bridge, including installation of storm sewer and backfill.",Increased traffic safety,Elgin,Southwest,,N0L 1K0,,624036,Yes,Yes,,,,42.8071,-81.2926
102,Roads and bridges,"Agriculture, Food and Rural Affairs",St. Charles,"Rehabilitation Musky Bay Road, Casimir Road and Culvert Structure Number 6",Complete,Sep-19,Replacement of Musky Bay Road Culvert No. 6 and rehabilitation of Musky Bay Road and Casimir Road.,Increased traffic safety,Sudbury,Northeast,,P0M 2W0,,346725,Yes,Yes,,,,46.322,-80.41
103,Roads and bridges,"Agriculture, Food and Rural Affairs",Sundridge,Main Street Reconstruction,Complete,Nov-18,Reconstruction of Main Street from Yonge Street going west.,Increased traffic safety,Parry Sound,Northeast,,P0A 1Z0,,1794462,Yes,Yes,,,,45.770831,-79.391938
104,Roads and bridges,"Agriculture, Food and Rural Affairs",Tay Valley,Reconstruction of Otty Lake Side Road (Joint with Drummond-North Elmsley),Complete,Jun-19,Reconstruction of Otty Lake Side Road.,Increased traffic safety,Lanark,East,Otty Lake Side Road,K7H 3C5,,2562894,Yes,Yes,,,,44.889163,-76.31701
105,Roads and bridges,"Agriculture, Food and Rural Affairs",Thunder Bay,Balmoral Street Reconstruction,Complete,Jun-17,"Reconstruction of Balmoral Street, from Hewitson Street to the Neebing River Floodway.",Increased Traffic Safety,Thunder Bay,Northwest,Balmoral Street,P7C 4J5,,2000000,Yes,Yes,,,,48.401431,-89.258244
106,Roads and bridges,"Agriculture, Food and Rural Affairs",Tillsonburg,Newell Road Reconstruction,Complete,Mar-18,Reconstruction of Newell Road. ,Increased Traffic Safety,Oxford,Southwest,Newell Road,N4G 5A5,,699346,Yes,Yes,Yes,,,42.848738,-80.746405
107,Roads and bridges,"Agriculture, Food and Rural Affairs",Tillsonburg,Concession Street East Reconstruction,Complete,Sep-18,Reconstruction of Concession Street East.,Increased traffic safety,Oxford,Southwest,Concession Street East,N4G 5A7,,800917,Yes,Yes,,,,42.868314,-80.71679
108,Roads and bridges,"Agriculture, Food and Rural Affairs",Timmins,Replacement of the Porcupine River Box Culvert,Complete,Oct-18,"Replacement of the Porcupine River Box Culvert, including replacement of guard rails.",Increased traffic safety,Cochrane,Northeast,,,,590545,Yes,Yes,,,,48.482476,-81.222288
109,Roads and bridges,"Agriculture, Food and Rural Affairs",Tudor and Cashel,Safety Rehabilitation of Weslemkoon Lake Road,Complete,Oct-18,Rehabilitation of Weskemkoon Lake Road.,Increased traffic safety,Hastings,East,Weslemkoon Lake Road,K0L 1W0,,1251000,Yes,Yes,,,,44.834533,-77.590449
110,Roads and bridges,"Agriculture, Food and Rural Affairs",Warwick,Warwick Bridge No. 6 Replacement,Complete,Dec-17,Replacement of Warwick Bridge No. 6 on Hickory Creek Line.,Increased Traffic Safety,Lambton,Southwest,Hickory Creek Line,,,205861,Yes,Yes,,,,43.078128,-81.916562
111,Roads and bridges,"Agriculture, Food and Rural Affairs",Warwick,Confederation Line Rehabilitation,Complete,Oct-19,Rehabilitation of Confederation Line between Nauvoo Road and Forest Road.,Increased traffic safety,Lambton,Southwest,,N0M 2S0,,1538825,Yes,Yes,,,,42.9555,-81.8826
112,Roads and bridges,"Agriculture, Food and Rural Affairs",Wellington North,Cst. Rick Hopkins Bridge Rehabilitation,Complete,Sep-17,Restoring Cst. Rick Hopkins Bridge,"New deck and railings, pavement, curbs and sidewalks",Wellington,Southwest,Highway 6 (Main Street South),N0G 2E0,,992652,Yes,Yes,Yes,,,43.9755,-80.7284
113,Roads and bridges,"Agriculture, Food and Rural Affairs",West Nipissing,Rehabilitation of Leblanc and Lalande Roads,Complete,Nov-18,"Rehabilitation of Leblanc Road, from Bay Street to Lalande Road, and Lalande Road, from Leblanc Road to Fort Road.",Increased traffic safety,Nipissing,Northeast,,P2B 2N2,,1010938,Yes,Yes,,,,46.354049,-79.955738
114,Roads and bridges,"Agriculture, Food and Rural Affairs",Wilmot,Holland Mills Road Bridge Rehabilitation,Complete,Jul-19,Replacement of Holland Mills Road Bridge.,Increased traffic safety,Waterloo,Southwest,1527 Holland Mills Road,N3A 3G4,,1198193,Yes,Yes,,,,43.37546,-80.67883
115,Roads and bridges,Infrastructure,Alfred and Plantagenet,Stormwater Culvert Replacement ,Complete,Sep-18,Replace pipes located under Principal Street.,Increased safety and eliminate the weight limits on vehicle using Principal Street. ,Prescott and Russell,East,,,,571647,Yes,Yes,Yes,,,45.570586,-75.146744
116,Roads and bridges,Infrastructure,Amherstburg,Reconstruction of Bridge 3012,Planning,2022,Bridge 3012 over the River Canard will be replaced and the roadways leading to the bridge will be rebuilt. These upgrades will improve the safety of travellers and extend the lifespan of the bridge.,,Essex,Southwest,271 Sandwich Street/Rue South/Sud,N9V2A5,,2874885,Yes,Yes,Yes,,,42.174754,-83.03447
117,Roads and bridges,Infrastructure,Arran-Elderslie,Soper's Bridge Replacement,Planning,2022,Replace Soper's Bridge with a new two-lane concrete girder bridge.,,Bruce,Southwest,,,,669140,Yes,Yes,Yes,,,44.445112,-81.188358
118,Roads and bridges,Infrastructure,Asphodel-Norwood,Reconstruction of a Section of Centre Line Road,Complete,Nov-21,Nine kilometres of Centre Line Road between County Road 45 and Asphodel 3rd Line will be reconstructed with upgrades completed on another 3 kilometres. These improvements will enhance road safety and improve sightlines at seven intersections.,,Peterborough,East,2357 County Road,K0L2V0,,1793336,Yes,Yes,Yes,,,44.338659,-77.99319
119,Roads and bridges,Infrastructure,Atikameksheng Anishnawbek First Nation,New by-pass road in Atikameksheng Anishnawbek,Planning,Mar-25,"Construction of approximately 5 kilometres for a new by-pass road, which will include gravel and asphalt components",,,Northeast,25 Reserve Road,P0M2M0,,4582455,Yes,Yes,Yes,,,46.401118,-81.178144
120,Roads and bridges,Infrastructure,Atikokan,Rehabilitation of Sewage Pump Station 5 ,Complete,Dec-19,"Install pumps,  pipes, valves, magnetic flowmeters,  miscellaneous mechanical and system upgrades, and upgrade of building envelope. ",Improved operational capability and reliability of the station.,Rainy River,Northwest,59 Maple Cres.,P0T 1C0,,312356,Yes,Yes,Yes,,,48.762407,-91.616276
121,Roads and bridges,Infrastructure,Atikokan,Atikokan Resurfacing and Curbing Project,Planning,Oct-26,"Road resurfacing, drainage improvements and new curbing of main roads will increase motorist safety, improve the flow of traffic.",,Rainy River,Northwest,120 Marks Street,P0T1C0,,4662596,Yes,Yes,Yes,,,48.763809,-91.620329
122,Roads and bridges,Infrastructure,Bancroft,Replacement of the Old Hastings Road Bridge,Planning,2022,"The replacement of the existing 8.8-metre bridge with a wider, two-lane structure and accompanying barrier system will increase driver and pedestrian safety.",,Hastings,East,29860 Hwy 28 Highway,K0L1C0,,956306,Yes,Yes,Yes,,,44.963172,-77.79272
123,Roads and bridges,Infrastructure,Beausoleil First Nation,Upgrading of Roadways in Beausoleil First Nation,Planning,Dec-23,"The upgrading of approximately 17 kilometres of roads to include sidewalks, ditches, and rehabilitated road surfaces will improve traffic flow, travel conditions and accessibility for motorists and pedestrians.",,,Central,11 O'gemaa Miikaan,L9M0A9,,4666500,Yes,Yes,Yes,,,44.820637,-80.173754
124,Roads and bridges,Infrastructure,Blandford-Blenheim,Reconstruction of Bridge 24 over the Nith River,Planning,Jun-26,"The reconstruction of Bridge 24 on Township Road 12, west of Blenheim Road includes the replacement of the existing structure with a new concrete bridge.",This new bridge will improve public safety and traffic flow.,Oxford,Southwest,47 Wilmot Street/Rue South/Sud,N0J1G0,,3281119,Yes,Yes,Yes,,,43.301956,-80.547085
125,Roads and bridges,Infrastructure,Bluewater,"Replacement of Bridge B35 - Airport Line, North of County Road #83",Planning,2022,"The replacement and widening of a bridge located on Airport Line will improve safety, reliability and reduce service interruptions.",,Huron,Southwest,14 Mill Avenue,N0M2T0,,2012919,Yes,Yes,Yes,,,43.36214,-81.50944
126,Roads and bridges,Infrastructure,Brant County,Reconstruction of a Section of King Edward Street,Planning,Jun-23,"The reconstruction of approximately 1 kilometre of King Edward Street between Puttown Road and Bishopgate Road. The work includes installing two, single-lane roundabouts and widening the road to accommodate a bike lane and sidewalks or a multi-use trail for pedestrians.","The project will improve the safety and reliability of the road for drivers, cyclists and pedestrians, and support better traffic flow, as well as facilitate active transportation.",Brant,Southwest,26 Park Avenue,N0E1A0,,4166500,Yes,Yes,Yes,,,43.171052,-80.432857
127,Roads and bridges,Infrastructure,Brockton,Bridge 0013 Replacement,Complete,Dec-21,"Replace Bridge 0013 on Chepstow Road, east of Side Road 5 in Brockton.",,Bruce,Southwest,,,,1336822,Yes,Yes,Yes,,,44.154203,-81.274528
128,Roads and bridges,Infrastructure,Brooke-Alvinston,Rehabilitation of Sections of Shiloh Line,Complete,Oct-21,"The rehabilitation of Shiloh Line will improve safety for motorists, cyclists and pedestrians, and reduce maintenance costs.",,Lambton,Southwest,3236 River,N0N1A0,,2883085,Yes,Yes,Yes,,,42.83085,-81.87001
129,Roads and bridges,Infrastructure,Burlington,"Inspection, Design and Rehabilitation of Rail Crossing Culverts",Complete,Feb-20,Assess  and make recommendations for the design and rehabilitation of 14 storm sewers crossing under the C.N. tracks in the rail corridors. ,"Longer service life of the storm sewers, and protection and safety of railway operations.   ",Halton,Central,,,,238553,Yes,Yes,Yes,,,43.361714,-79.798982
130,Roads and bridges,Infrastructure,Burlington,Replacement of Plains Road West Culverts ,Complete,Aug-18,Remove and upgrade 7 corrugated steel pipe culverts.,,Halton,Central,,,,262500,Yes,Yes,Yes,,,43.295147,-79.867266
131,Roads and bridges,Infrastructure,Cambridge,Moyer's Bridge and McLean Road Upgrades,Complete,Jun-21,Upgrade Moyer's Bridge and reconstruct McLean Road from County Road 34 to the McLean Road and Concession 7 intersection. ,,Waterloo,Southwest,,,,865590,Yes,Yes,Yes,,,43.454501,-80.162836
132,Roads and bridges,Infrastructure,Carling,Dillon Road Improvements,Planning,2022,"The project will reconstruct approximately 9.5 kilometres of Dillon Road. The work includes re-aligning certain sections, tree clearing, and widening rock cuts to improve sight lines, and asphalt resurfacing.","The project will improve road safety and reliability, facilitate active transportation, reduce lifecycle costs and service interruptions, extend the asset life, and improve access to the Dillon Cove public boat launch.",Parry Sound,Northeast,2 West Carling Road,P0G1G0,,3281063,Yes,Yes,Yes,,,45.430375,-80.274498
133,Roads and bridges,Infrastructure,Chapple,Rehabilitation of Off Lake Road Culvert,Complete,Jul-21,Rehabilitation includes upgrading and reinforcing the existing concrete and installing traffic barriers.,"This will increase residents' safety and reduce asset failure and service interruptions, extending the culvert's lifespan.",Rainy River,Northwest,54 Barwick Road,P0W1A0,,332404,Yes,Yes,Yes,,,48.752048,-93.851683
134,Roads and bridges,Infrastructure,Chippewas of Nawash First Nation,Chippewas of Nawash First Nation Community Road Repairs ,Planning,Dec-23,Repair roads and replace culverts in the Chippewas of Nawash First Nation Community.,,,Southwest,,,,3912020,,Yes,Yes,Yes,,44.930982,-81.029349
135,Roads and bridges,Infrastructure,Clearview,New Construction on Locke Avenue Water Supply Pipeline. ,Complete,Nov-17,install 80 meters of piping on Scott Ave. from Campground to Locke Avenue.ts,"More reliable access to safe drinking water, and improved ability to meet projected growth.",Simcoe,Central,,,,132788,Yes,Yes,Yes,,,44.4184,-80.0957
136,Roads and bridges,Infrastructure,Coleman,Replacement of Larose Bridge,Planning,2022,"This project involves the removal of the existing Larose Bridge and replacement with a new 87.9-m, three-span structure with a sidewalk.",,Timiskaming,Northeast,937907 Marsh Bay Road,P0J1C0,,4656569,Yes,Yes,Yes,,,47.398503,-79.676474
137,Roads and bridges,Infrastructure,Collingwood,Reconstruction of Mountain Road,Planning,Nov-24,"The reconstruction of 1.2 kilometres of Mountain Road between Tenth Line and Cambridge Street will improve safety for cyclists and pedestrians, and support better traffic flow.",,Simcoe,Central,97 Hurontario Street/Rue,L9Y3Z5,,4166499,Yes,Yes,Yes,,,44.5005,-80.2475
138,Roads and bridges,Infrastructure,Cornwall,Upgrades to a Section of Lemay Street,Planning,2022,"The reconstruction and widening of a major road, which includes adding bike lanes, sidewalks and a roundabout, will increase the safety of pedestrians and will improve the city's active transportation routes.",,"Stormont, Dundas and Glengarry",East,360 Pitt Street/Rue,K6H5T9,,2494900,Yes,Yes,Yes,,,45.035577,-74.736827
139,Roads and bridges,Infrastructure,Dutton-Dunwich,Ash Line Culvert Replacement and Resurfacing,Planning,2022,The installation a 42-metre culvert and rehabilitation of 800 metres of Ash Line will improve road infrastructure.,,Elgin,Southwest,199 Currie Road,N0L1J0,,1117846,Yes,Yes,Yes,,,42.617248,-81.468001
140,Roads and bridges,Infrastructure,Englehart,Reconstruction of the Krugerdorf Bridge,Planning,Dec-23,"The project will reconstruct the Krugerdorf Bridge. The project scope includes removal of the existing bridge, road grade adjustments, enhancements to the abutments, and installation of a 40m single-span modular bridge with steel beam guiderail.","Overall, the project contributes to improved and more reliable road infrastructure in the Township of Chamberlain.",Timiskaming,Northeast,467501 Chamberlain Road 5 Road,P0J1H0,,4275837,Yes,Yes,Yes,,,47.928314,-79.900268
141,Roads and bridges,Infrastructure,Erin,8th Line Bridge Replacement,Planning,2022,Replace the 8th Line Bridge with a new 2 lane bridge. ,,Wellington,Southwest,,,,916630,Yes,Yes,Yes,,,43.77187,-80.09358
142,Roads and bridges,Infrastructure,Georgian Bay,Reconstruction of Ogemawahj Road,Planning,2022,The project is for the reconstruction of approximately 1.9 kilometres of Ogemawahj Road between Twelve Mile Bay Road and Kings Bay Marina. The work includes: upgrading and raising the road base; replacing culverts; road resurfacing; and installing approximately 225 metres of guard rail.,,Muskoka,Central,99 Lone Pine road,L0K1S0,,659868,Yes,Yes,Yes,,,45.074367,-80.010349
143,Roads and bridges,Infrastructure,Gore Bay,Rehabilitation of the Gore Bay-Manitoulin Airport,Planning,Nov-23,"Upgrades to the airport will include a new air terminal, helipad, expansion of the secondary runway, and enhancements to security and wildlife fencing.","This project will improve passenger safety and security, emergency responses and the flow of traffic.",Manitoulin,Northeast,15 Water ST,P0P1H0,,3966497,Yes,Yes,Yes,,,45.882125,-82.572814
144,Roads and bridges,Infrastructure,Gravenhurst,Snider's Bay Bridge Replacement,Planning,2022,Removal and replacement of the current Snider's Bay Bridge with two new culverts approximately 20 m in length.  Fill material will be added to stabilize side slopers. ,,Muskoka,Central,Suite 3 5 PINERIDGE GATE,P1P1Z3,,842878,Yes,Yes,Yes,,,44.95098,-79.44307
145,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,Nov-18,Replace the culvert at Mikkola Road.,,Sudbury,Northeast,61 Mikkola Road,P3Y 1A5,,56947,Yes,Yes,Yes,,,46.418892,-81.118873
146,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement  ,Complete,Mar-19,Replace the culvert at Westmount Avenue.,,Sudbury,Northeast,430 Westmount Avenue,P3A 5T9,,382335,Yes,Yes,Yes,,,46.50684,-80.946159
147,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,Nov-18,Replace the culvert at Yorkshire Drive.,,Sudbury,Northeast,1830 Yorkshire Drive,P3N 1R9,,182838,Yes,Yes,Yes,,,46.627339,-81.015936
148,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,Nov-18,Replace the culvert at Manninen Road.,,Sudbury,Northeast,68 Manninen Road,P0M 3H0,,75215,Yes,Yes,Yes,,,46.338834,-81.509916
149,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,Nov-18,Replace the culvert at Edward Avenue.,,Sudbury,Northeast,122 Edward Avenue,P0M 1M0,,132203,Yes,Yes,Yes,,,46.4847,-80.8499
150,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,Nov-18,Replace the culvert at Seguin Street.,,Sudbury,Northeast,136 Seguin Street,P0M 1L0,,148979,Yes,Yes,Yes,,,46.609359,-81.104686
151,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,Mar-19,Replace the culvert at Nickel Basin Road.,,Sudbury,Northeast,1830 Nickel Basin Road,P0M 1L0,,149144,Yes,Yes,Yes,,,46.583389,-81.199818
152,Roads and bridges,Infrastructure,Greater Sudbury,MR55 - Culvert Replacement,Complete,Sep-18,Replace the culvert at MR55.,,Sudbury,Northeast,Municipal Road 55,,,848374,Yes,Yes,Yes,,,46.376833,-81.329639
153,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,Nov-18,Replace the culvert at Tilton Lake Road.,,Sudbury,Northeast,6648 Tilton Lake Road,P36 1L5,,124529,Yes,Yes,Yes,,,46.378849,-81.045057
154,Roads and bridges,Infrastructure,Halton Hills,Glen Lawson Road and Third Line Improvements,Planning,Dec-24,"Upgrade approximately 1.5 kilometres of Glen Lawson Road, from Fourth Line to Churchill Road South/Third Line, and Churchill Road South/Third Line, from Glen Lawson Road to Rachlin Drive in Halton Hills.",,Halton,Central,,,,1562438,Yes,Yes,Yes,,,43.629582,-80.010518
155,Roads and bridges,Infrastructure,Hanover,Roundabout Construction,Planning,Jul-24,Construct a roundabout at the intersection of Grey County Roads 3 and 4 in West Grey. ,,Grey,Southwest,,,,1516606,Yes,Yes,Yes,,,44.157,-80.954
156,Roads and bridges,Infrastructure,Hiawatha First Nation,Paudash Street Reconstruction,Planning,2022,"The rehabilitation of approximately 2 kilometres of Paudash Street, between Cowe Street and Lakeshore Road, will include the installation of 30 culverts and a multi-use pathway.","The upgrades will improve road safety for motorists, cyclists and pedestrians, and address drainage issues.",,East,123 Paudash Street,K9J0E6,,4493702,Yes,Yes,Yes,,,44.1789,-78.205084
157,Roads and bridges,Infrastructure,Highlands East,Replacement of the South Wilberforce Bridge,Planning,2022,"The replacement of the one-lane South Wilberforce Bridge with a new, two-lane structure to improve safety and traffic flow.",,Haliburton,East,PO Box 295,K0L3C0,,1312033,Yes,Yes,Yes,,,44.9956,-78.2205
158,Roads and bridges,Infrastructure,Hornepayne,Refurbishment of the Hornepayne Airport Runway and Terminal,Planning,2022,"Refurbishing the airport's runway will include repaving, replacing runway lighting with an LED system, and installing a new fuel tank and pumping system.","This will improve the safety and reliability for passengers, reduce service interruptions and extend the runway's lifespan.",Algoma,Northeast,68 Front Street/Rue,P0M1Z0,,4523252,Yes,Yes,Yes,,,49.193055,-84.759444
159,Roads and bridges,Infrastructure,Huron East,Replacement of the Kinburn Line T13 Bridge,Planning,2022,The project will replace the existing bridge on Kinburn Line with a wider structure to improve safety and traffic flow.,,Huron,Southwest,72 Main Street South,N0K1W0,,2136665,Yes,Yes,Yes,,,43.565918,-81.472175
160,Roads and bridges,Infrastructure,Kapuskasing,Rehabilitation of Two Bridges on Kapuskasing River,Planning,2022,"Rehabilitating the East and West bridges by repairing, replacing and waterproofing various sections will improve safety and reliability, reduce service interruptions for commuters, and ensure accessibility to essential services for neighbouring communities.",,Cochrane,Northeast,88 Riverside Dr,P5N1B3,,3764550,Yes,Yes,Yes,,,49.412545,-82.429498
161,Roads and bridges,Infrastructure,Kiashke Zaaging Anishinaabek First Nation,Gull Bay Roads Rehabilitation,Planning,2022,"The reconstruction of a portion of roads on reserve will include improvements to the main highway entrance, resurfacing, grading, widening and other safety modifications. This will ensure the safety and security of motorists and pedestrians, and extend the lifespan of the roads.",,Thunder Bay,Northwest,General Delivery,P0T1P0,,3106057,Yes,Yes,Yes,,,49.79875,-89.11388
162,Roads and bridges,Infrastructure,Laird,Lakeview Bridge Replacement,Planning,2022,"Replacing the bridge with a new, single-span structure with safety guiderails will improve safety and reliability for pedestrians, cyclists and motorists. It will also decrease the risk of flooding and lower operation and maintenance costs",,Algoma,Northeast,3 Pumpkin Point Road West/Ouest,P0S1C0,,1865387,Yes,Yes,Yes,,,46.425187,-84.088504
163,Roads and bridges,Infrastructure,Larder Lake,Larder Lake Road Reconstruction,Planning,Dec-23,"Approximately 1.7 kilometres of Godfrey Street, Commissioner Street, Fourth Avenue, and Ninth Avenue will be upgraded, which will involve replacing 12 culverts and asphalt resurfacing."," The project will result in safer roads for drivers, cyclists and pedestrians, as well as improved and more reliable road infrastructure.",Timiskaming,Northeast,69 Fourth Avenue,P0K1L0,,2925553,Yes,Yes,Yes,,,48.098711,-79.713739
164,Roads and bridges,Infrastructure,Markstay-Warren,Markstay Streets Revitalization,Planning,Dec-24,"The project consists of the resurfacing, improved shoulders, ditching, drainage, and replacement of driveway culverts of approximately 5.5 kilometres of contiguous streets.","This project will improve traffic safety and drainage, and create safer walking surfaces for pedestrians.",Sudbury,Northeast,21 Main Street/Rue South/Sud,P0M2G0,,4407043,Yes,Yes,Yes,,,46.493444,-80.537045
165,Roads and bridges,Infrastructure,Mattawa,Replacement of Murphy Road Bridge,Planning,2022,This project will remove the single lane T beam reinforced concrete structure crossing Antoine Creek on Murphy Road and will replace it with a single-lane 30-m span structure.,,Nipissing,Northeast,947 Hwy 533 Highway,P0H1V0,,1750521,Yes,Yes,Yes,,,46.345716,-78.74414
166,Roads and bridges,Infrastructure,Mattawa,Reconstruction of Dorion Road Hill,Planning,Aug-24,"The project is for the reconstruction of approximately 410 m of Dorion Road, southbound from Highway 17.",The work includes: safety improvements and replacement of telephone poles and installation of street lights.,Nipissing,Northeast,160 Water St,P0H1V0,,4464907,,Yes,Yes,Yes,,46.315615,-78.686244
167,Roads and bridges,Infrastructure,McKellar,Blackwater Bridge replacement,Complete,Oct-17,Remove the Blackwater Bridge and replace it with a culvert.,Increased lifespan and capacity of the water crossing and improved environmental outcomes.,Parry Sound,Northeast,,,,75000,Yes,Yes,Yes,,,45.433056,-79.821111
168,Roads and bridges,Infrastructure,Minden Hills,Replacement of the Sedgewick Bridge,Planning,2022,"The replacement of the existing one-lane Sedgewick Bridge with a new two-lane structure will improve safety and traffic flow, and reduce service interruptions.",,Haliburton,East,7 Milne Street/Rue,K0M2K0,,951758,Yes,Yes,Yes,,,44.902528,-78.61779
169,Roads and bridges,Infrastructure,Mississippi Mills,Replacement of the Levi Bridge,Complete,Oct-21,"Replacing the Levi Bridge with a new, two-lane bridge with new railings and guardrails will increase the safety and reliability of the structure for motorists. It will also extend the lifespan of the bridge and lower maintenance costs.",,Lanark,East,3131 Old Perth Road,K0A1A0,,1007039,Yes,Yes,Yes,,,45.370055,-76.372221
170,Roads and bridges,Infrastructure,Mohawks of the Bay of Quinte First Nation,Reconstruction of a Section of York Road and Rehabilitation of the Mud Creek Bridge,Planning,2022,"The reconstruction of 5 kilometres of York Road, between Shannonville Road and Norways Road, will rehabilitate the Mud Creek Bridge to improve road safety and reliability for motorists, cyclists and pedestrians.",,,East,24 Meadow Drive,K0K1X0,,4666500,Yes,Yes,Yes,,,44.192346,-77.161466
171,Roads and bridges,Infrastructure,Morris-Turnberry,Replacement of the Blind Bridge on Abraham Line,Planning,2022,"The replacement of the existing, one-lane Blind Bridge on Abraham Line with a new, two-lane structure will improve safety, reliability and traffic flow, and remove weight restrictions.",,Huron,Southwest,41342 Morris Rd.,N0G1H0,,2738168,Yes,Yes,Yes,,,43.84449,-81.28783
172,Roads and bridges,Infrastructure,Nairn and Hyman,Reconstruction of Old Nairn Road,Planning,Sep-23,"Widening and resurfacing a portion of Old Nairn Road, including replacing culverts, will improve safety and security for motorists and pedestrians.",,Middlesex,Northeast,64 McIntyre Street/Rue,P0M2L0,,3249181,Yes,Yes,Yes,,,46.326803,-81.609291
173,Roads and bridges,Infrastructure,Naotkamegwanning First Nation,Rehabilitation of the Access Road to Three First Nation Communities,Planning,2022,"Upgrades to the access road between Highway 71 and the First Nation communities of Naotkamegwanning, Animakee Wa Zhing #37 and Northwest Angle #33, will improve the road surfaces, drainage and signage.","Overall, the project will improve the reliability and safety of the road and contribute to better the overall road network.",,Northwest,1800 Pawitik St,P0X1L0,,1027606,Yes,Yes,Yes,,,49.401347,-93.951899
174,Roads and bridges,Infrastructure,Niagara Falls,"Drummond Road, Gallinger Street and Portage Road Reconstruction",Planning,Dec-25,"Reconstruct approximately 2.5 kilometres of Drummond Road (Thorold Stone Road to Morrison Street),Gallinger Street and Portage Road (Elizabeth Street to Althea Street) in Niagara Falls.",,Niagara,Central,,,,4166499,Yes,Yes,Yes,,,43.111615,-79.09815
175,Roads and bridges,Infrastructure,Norfolk County,Big Creek Bridge Replacement,Planning,2022,Replace Big Creek Bridge in Norfolk County.,,Haldimand-Norfolk,Southwest,,,,4166500,Yes,Yes,Yes,,,42.601594,-80.454033
176,Roads and bridges,Infrastructure,North Bay,Expansion and upgrade of McKeown Avenue,Planning,Nov-24,The project is for reconstruction and widening of approximately 950 m of McKeown Avenue to four lanes from Gormanville Road to Cartier Street.,,Nipissing,Northeast,200 McIntyre Street/Rue East/Est,P1B8H8,,4166500,Yes,Yes,Yes,,,46.3325,-79.4791
